Location,In Scope,Type,Size,Date,Level,Title,Description,Keywords,H1TagTexts,Word Count,LinksIn,LinksOut,Images,Audios,Videos,Documents,Notes
http://snapcats.org/himalayan.htm,TRUE,text/html,8360,2017-02-18T23:53:26,3,SNAP Cats - Himalayan Cat Breed,,,,138,1,34,22,0,0,1, 
http://snapcats.org/japanesebobtail.htm,TRUE,text/html,8430,2017-02-18T23:53:27,3,SNAP Cats - Japanese Bobtail Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/javanese.htm,TRUE,text/html,8438,2017-02-18T23:53:27,3,SNAP Cats - Javanese Cat Breed,,,,144,2,34,22,0,0,1, 
http://snapcats.org/korat.htm,TRUE,text/html,8420,2017-02-18T23:53:29,3,SNAP Cats - Korat Cat Breed,,,,144,1,34,22,0,0,1, 
http://snapcats.org/laperm.htm,TRUE,text/html,8384,2017-02-18T23:53:29,3,SNAP Cats - Laperm Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/mainecoon.htm,TRUE,text/html,8426,2017-02-18T23:53:33,3,SNAP Cats - Maine Coon Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/manx.htm,TRUE,text/html,8430,2017-02-18T23:53:34,3,SNAP Cats - Manx Cat Breed,,,,144,1,34,22,0,0,1, 
http://snapcats.org/nebelung.htm,TRUE,text/html,8417,2017-02-18T23:53:41,3,SNAP Cats - Nebelung Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/norwegianforest.htm,TRUE,text/html,8386,2017-02-18T23:53:43,3,SNAP Cats - Norwegian Forest Cat Breed,,,,138,1,34,22,0,0,1, 
http://snapcats.org/ocicat.htm,TRUE,text/html,8393,2017-02-18T23:53:43,3,SNAP Cats - Ocicat Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/oriental.htm,TRUE,text/html,8021,2017-02-18T23:53:44,3,SNAP Cats - Oriental Cat Breed,,,,117,2,34,22,0,0,1, 
http://snapcats.org/persian.htm,TRUE,text/html,8419,2017-02-18T23:53:46,3,SNAP Cats - Persian Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/ragamuffin.htm,TRUE,text/html,8429,2017-02-18T23:53:47,3,SNAP Cats - Ragamuffin Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/ragdoll.htm,TRUE,text/html,8437,2017-02-18T23:53:47,3,SNAP Cats - Ragdoll Cat Breed,,,,143,1,34,22,0,0,1, 
http://snapcats.org/russianblue.htm,TRUE,text/html,8421,2017-02-18T23:53:49,3,SNAP Cats - Russian Blue Cat Breed,,,,141,2,34,22,0,0,1, 
http://snapcats.org/savannah.htm,TRUE,text/html,8483,2017-02-18T23:53:50,3,SNAP Cats - Savannah Cat Breed,,,,146,1,34,22,0,0,1, 
http://snapcats.org/scottishfold.htm,TRUE,text/html,8388,2017-02-18T23:53:50,3,SNAP Cats - Scottish Fold Cat Breed,,,,138,1,34,22,0,0,1, 
http://snapcats.org/selkirkrex.htm,TRUE,text/html,8374,2017-02-18T23:53:50,3,SNAP Cats - Selkirk Rex Cat Breed,,,,138,1,34,22,0,0,1, 
http://snapcats.org/siamese.htm,TRUE,text/html,8391,2017-02-18T23:53:50,3,SNAP Cats - Siamese Cat Breed,,,,141,2,34,22,0,0,1, 
